feature,pair_mode,kernel,accuracy,fit_sec
sbert,concat,rbf,0.5451263537906137,2.1045988789996954
sbert,concat,linear,0.5126353790613718,8.801117093999892
sbert,concat,poly,0.5415162454873647,1.9819357250003122
sbert,concat,sigmoid,0.5523465703971119,2.242267609999999
sbert,mean,rbf,0.5018050541516246,0.8944051319999744
sbert,mean,linear,0.49458483754512633,4.749016678999851
sbert,mean,poly,0.5018050541516246,0.8608357899997827
sbert,mean,sigmoid,0.5126353790613718,1.0802961019999202
sbert,max,rbf,0.6064981949458483,0.9613238509996336
sbert,max,linear,0.5812274368231047,5.714701410000089
sbert,max,poly,0.6173285198555957,0.8065837310000461
sbert,max,sigmoid,0.6353790613718412,0.8923556280001321
bow,-,rbf,0.5379061371841155,1.1611124949999976
bow,-,linear,0.4981949458483754,1.2416145110000798
bow,-,poly,0.44765342960288806,1.1515109729998585
bow,-,sigmoid,0.5234657039711191,1.1587552250002773
